org,title,url,location,employment_type,level,posted,source_kind,fetched
(ACER) Agency for the Cooperation of Energy Regulators,Traineeships - ACER,https://www.acer.europa.eu/en/The_agency/Working_at_ACER/Pages/Currrent-vacancies.aspx,Ljubljana (Slovenia),traineeship,internship,no deadline for application,epso,2026-09-16
(SatCen) European Union Satellite Centre,Traineeships - SatCen,https://www.satcen.europa.eu/recruitment/jobs,Torrejon de Ardoz (Spain),traineeship,internship,no deadline for application,epso,2026-09-16
European Committee of the Regions,European Committee of the Regions: Cicero Traineeships,https://cor.europa.eu/en/about/work-us/traineeships,Brussels (Belgium),traineeship,internship,no deadline for application,epso,2026-09-16
European Committee of the Regions,European Committee of the Regions: Study visits,https://cor.europa.eu/en/about/work-us/traineeships,Brussels (Belgium),traineeship,internship,no deadline for application,epso,2026-09-16
European Committee of the Regions,European Committee of the Regions: Study visits for government officials,https://cor.europa.eu/en/about/work-us/traineeships,Brussels (Belgium),traineeship,internship,no deadline for application,epso,2026-09-16
